# Pacefinder — extended Forza car ordinal map.
# Format: ordinal,year,make,model (4 columns — same as fm8_cars.csv).
# Loaded AFTER fm8_cars.csv; entries here OVERRIDE the base on duplicate ordinals.
# FH5 seed source: https://github.com/ForzaMods/FH5-Car-ID-List
# FH5 list names usually do not include model year, so year=0 means display name omits year.
ordinal,year,make,model
2648,0,Gymkhana,9 RX
2699,0,Mini,Cooper S FE
2740,0,2017,Abarth 124
2743,0,Toyota,Land Cruser Arctic AT37
2745,0,Honda,Ridgeline
2750,0,Hot Wheels,1969 Twin Mill
2751,0,Hot Wheels,Rip Rod
2793,0,Ferrari,1967 #24 Ferrari Spa 330 P4
2822,0,Nissan,Safari Turbo
2869,0,Porsche,23 917
2872,0,Hyundai,2019 Veloster N
2874,0,Nissan,Sentra Nismo
2908,0,Eagle,Speedster
2937,0,Ford,2017 N0.14 Rahal Letterman Lanigan Racing Fiesta
2941,0,Lamborghini,2011 Sesto Elemento
2947,0,Mercedes-Benz,2015 #24 Tankpool24 Racing Truck
2948,0,Mercedes-Benz,1998 Amg Clk Gtr
2951,0,Nissan,2003 Fairlady Z
2964,0,Morris,1953 Minor 1000
2973,0,Alpine,2017 A110
2987,0,Peel,P50 (Secret Santa)
3005,0,Peel,Trident
3006,0,Hoonigan,Gymkhana 10 Hoonicorn V2
3035,0,KTM,X-Bow GT4
3069,0,Honda,Civic Coupe 2016
3085,0,Deberti,Mustang
3087,0,McLaren,650S Spider
3111,0,1951,Porsche #46
3116,0,Morris,Series II Traveler
3142,0,Morris,Traveller
3150,0,Porsche,Emory 356 C
3160,0,Porsche,Guntherwerks
3172,0,Bentley,Turbo R
3174,0,Ford,2019 Ranger Raptor
3182,0,Renault,Clio R.S. 16 Concept
3187,0,Porche,2018 Macan LPR Rally Raid
3194,0,Italdesign,Zerouno
3195,0,ATS,GT
3196,0,Raesr,Tachyon Speed
3214,0,Porsche,#70 935
3239,0,2018,Lamborghini #63 Squadra Corse Huracàn Super Trofeo
3248,0,Porsche,911 Reimagined by Singer
3250,0,Mercedes-Amg,2018 E 63 S
3252,0,Hot Wheels,Ford F-5 Dually Custom Hot Rod
3284,0,Henessey,Chevy
3289,0,Lamborghini,Aventador SVJ
3318,0,Audi,RS 4 Avant '18
3320,0,2019,Italdesign Davinci Concept
3334,0,2019,Elemental RP1
3359,0,Audi,RS E-Tron GT
3366,0,Nio,EP9
3367,0,Ferrari,F8 Tributo
3373,0,Toyota,4Runner TRD Pro AT38
3405,0,Hotwheels,2Jetz
3407,0,Hot Wheels,Nash Metropolitan Custom
3439,0,Derbeti,F-250
3482,0,McLaren,765LT
3492,0,2020,KTM X-Bow GT2
3520,0,Lexus,LC 500
3533,0,2022,Volkswagen Golf R
3537,0,MG,#20 MG6 Xpower
3547,0,Xpeng,P7
3548,0,Wuling,Sunshine
3549,0,Alumacraft,Class 1 Buddy
3552,0,Lynk,& Co 20
3553,0,Hoonigan,Scumbug
3556,0,BMW,X5 M
3559,0,Chevrolet,1953 Corvette
3561,0,Dodge,Charger R/T
3562,0,Exomotive,2018 Exocet Off-Road
3564,0,Ford,Racing Puma
3568,0,Maserati,Gran Turismo S
3570,0,Meyers,1971 Manx
3572,0,Pagani,2016 Huyara BC
3573,0,Pontiac,1987 Firebird Trans Am Gta
3574,0,Porsche,911 GT3 RS
3577,0,Volkswagen,Beetle
3583,0,Audi,RS6 Avant
3584,0,Audi,RS 7 Sportsback
3590,0,Chevy,K10
3594,0,2020,Ferrari Roma
3595,0,Ferrari,SF90 Stradale
3597,0,Ford,F-150 XLT
3603,0,Casey Currie,Trophy Jeep
3604,0,Jimco,Hammerhead
3605,0,Jumco,Trophy Truck
3606,0,2020,Lamborghini Essenza SCV12
3608,0,Lamborghini,Sian Roadster (Secret Santa)
3616,0,AMG,GT Black Series
3620,0,Nissan,Z 2023
3622,0,Nissan,GT-R Nismo
3625,0,Rimac,Nevera
3644,0,2021,BMW M3
3645,0,BMW,M4 Competition Coupe
3657,0,2022,Rivian R1T
3658,0,2022,Rivian R1S
3662,0,RJ Anderson,Pro Truck
3665,0,Sierra,700
3667,0,Porsche,911 GT3 '21
3670,0,Ford,Focus RS
3672,0,Lamborghini,Huracan STO
3673,0,2020,Lamborghini SC20
3677,0,Link,& Co 21
3686,0,Polaris,Pro XP Factory Racing
3687,0,Polaris,
3689,0,MG,MG6 Xpower
3692,0,Ford,F-150 Lightning
3693,0,Alumicraft,Trick Truck
3698,0,Porsche,Mission R
3706,0,HW,firebird
3708,0,125,Extreme E
3709,0,22,Extreme E
3710,0,23,Extreme E
3711,0,42,Extreme E
3712,0,44,Extreme E
3713,0,5, Extreme E
3714,0,55,Extreme E
3715,0,6, Extreme E
3719,0,Cadillac,CT4
3720,0,Cadillac,CT5
3722,0,GMC,Hummer
3724,0,2022,Ferrari 296 GTB
3727,0,58,Extreme E
3734,0,2022,BMW i4
3736,0,2022,Ford Bronco Raptor
3737,0,2022,BMW iX
3741,0,Nissan,240SX FD Donut Media
3742,0,Nissan,high car
3743,0,Nissan,low car
3744,0,Nissan,Z Formula Drift #64
3746,0,Cupra,Formentor V25
3747,0,Cupra,Tavascan concept
3753,0,2022,Lamborghini Huracàn Tecnica
3760,0,2022,Porsche 718
3761,0,Toyota,GR86
3763,0,2023,BMW M2
3771,0,2024,Chevrolette E-Ray
3795,0,2023,Meyers Manx 2.0
3808,0,Barbie,Corvette
3809,0,Barbie,GMC
3810,0,2010,Nissan Tsuru
9007,0,Ford,Supervan 3 Donut Media
