game,manufacturer,display_name,class,pi,country,availability,source
fh6,Audi,2021 Audi RS 7 Sportback,Modern Super Saloons,655 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2021 Audi RS e-tron GT,Modern Super Saloons,677 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2023 Audi R8 Coupé V10 GT RWD,Modern Supercars,769 S1,Germany,Autoshow DLC,forza.net/fh6cars
fh6,Austin-Healey,1965 Austin-Healey 3000 MkIII,Classic Sports Cars,352 D,UK,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Autozam,1993 Autozam AZ-1,Eclectic Domestics,342 D,Japan,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BAC,2014 BAC Mono,Track Toys,766 S1,UK,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Bentley,2016 Bentley Bentayga,Sports Utility Heroes,612 A,UK,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Bentley,2021 Bentley Continental GT Convertible,GT Cars,649 A,UK,"Autoshow, Collection Journal, Wheelspin",forza.net/fh6cars
fh6,BMW,1957 BMW Isetta 300 Export,Cult Cars,100 D,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,1973 BMW 2002 Turbo,Classic Sports Cars,424 C,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,1981 BMW M1,Retro Supercars,510 B,Germany,Collection Journal,forza.net/fh6cars
fh6,BMW,1988 BMW M3,Retro Super Saloons,474 C,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,1988 BMW M5,Retro Super Saloons,470 C,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,1995 BMW 850CSi,Retro Sports Cars,493 C,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,1995 BMW M5,Retro Super Saloons,516 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,1997 BMW M3,Retro Super Saloons,549 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2003 BMW M5,Retro Super Saloons,580 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2005 BMW M3,Retro Super Saloons,554 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2008 BMW M3,Modern Super Saloons,608 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2008 BMW Z4 M Coupé,Modern Sports Cars,579 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2009 BMW M5,Modern Super Saloons,595 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2010 BMW M3 GTS,Track Toys,678 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2011 BMW X5 M,Sports Utility Heroes,546 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2012 BMW M5,Modern Super Saloons,652 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2014 BMW M4 Coupé,Modern Super Saloons,679 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2015 BMW i8,Modern Sports Cars,665 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2016 BMW M4 GTS,Track Toys,711 S1,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2019 BMW Z4 Roadster,Modern Sports Cars,634 A,Germany,"Autoshow, Collection Journal, Wheelspin",forza.net/fh6cars
fh6,BMW,2020 BMW M2 Competition Coupé,Modern Super Saloons,656 A,Germany,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,BMW,2020 BMW M8 Competition Coupé,GT Cars,684 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2021 BMW M4 Competition Coupé,Modern Super Saloons,666 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2021 BMW M4 Competition Coupé Welcome Pack,Modern Super Saloons,800 S1,Germany,Autoshow DLC,forza.net/fh6cars
fh6,BMW,2022 BMW iX xDrive50,Sports Utility Heroes,595 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2022 BMW M5 CS,Modern Super Saloons,731 S1,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2023 BMW M2,Modern Super Saloons,647 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,BMW,2023 BMW M2 Forza Edition,Track Toys,700 A,Germany,"Collection Journal, Seasonal",forza.net/fh6cars
fh6,BMW,2024 BMW X6 M Competition,Sports Utility Heroes,672 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Buick,1987 Buick Regal GNX,Retro Muscle,454 C,USA,Autoshow,forza.net/fh6cars
fh6,Cadillac,2013 Cadillac XTS Limousine,Modern Super Saloons,381 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Cadillac,2016 Cadillac ATS-V,Modern Muscle,601 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Cadillac,2016 Cadillac CTS-V Sedan,Modern Muscle,648 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Cadillac,2022 Cadillac CT4-V Blackwing,Modern Muscle,650 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Cadillac,2022 Cadillac CT5-V Blackwing,Modern Muscle,701 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Can-Am,2018 Can-Am Maverick X RS Turbo R,UTV's,568 B,Canada,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Casey Currie Motorsports,2019 Casey Currie Motorsports #4402 Ultra 4 'Trophy Jeep',Unlimited Offroad,641 A,USA,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Chevrolet,1953 Chevrolet Corvette,Classic Sports Cars,270 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1955 Chevrolet 150 Utility Sedan,Rods and Customs,221 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1957 Chevrolet Bel Air,Rods and Customs,320 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1960 Chevrolet Corvette,Classic Sports Cars,428 C,USA,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Chevrolet,1964 Chevrolet Impala Super Sport 409,Rods and Customs,427 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1967 Chevrolet Corvette Stingray 427,Classic Muscle,510 B,USA,"Collection Journal, Seasonal",forza.net/fh6cars
fh6,Chevrolet,1969 Chevrolet Camaro Super Sport Coupe,Classic Muscle,471 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1969 Chevrolet Nova Super Sport 396,Classic Muscle,431 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1970 Chevrolet Camaro Z28,Classic Muscle,430 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1970 Chevrolet Chevelle Super Sport 454,Classic Muscle,424 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1970 Chevrolet Corvette ZR-1,Classic Muscle,497 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1970 Chevrolet El Camino Super Sport 454,Utility Heroes,430 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1972 Chevrolet K-10 Custom,Pickups & 4x4's,268 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1979 Chevrolet Camaro Z28,Classic Muscle,364 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1988 Chevrolet Monte Carlo Super Sport,Retro Muscle,282 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1995 Chevrolet Corvette ZR-1,Retro Muscle,576 B,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,1996 Chevrolet Impala Super Sport,Retro Muscle,407 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2002 Chevrolet Corvette Z06,Retro Muscle,602 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2009 Chevrolet Corvette ZR1,Modern Muscle,712 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2015 Chevrolet Camaro Z/28,Track Toys,695 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2015 Chevrolet Corvette Z06,Modern Muscle,755 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2017 Chevrolet Camaro ZL1,Modern Muscle,727 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2018 Chevrolet Camaro ZL1 1LE,Track Toys,728 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2019 Chevrolet Corvette ZR1,Track Toys,778 S1,USA,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Chevrolet,2020 Chevrolet Corvette Stingray Coupe,Modern Supercars,700 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2020 Chevrolet Silverado LT Trail Boss,Pickups & 4x4's,449 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2023 Chevrolet Corvette Z06,Track Toys,763 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Chevrolet,2024 Chevrolet Corvette E-Ray,Modern Supercars,737 S1,USA,"Autoshow, Wheelspin, Loyalty",forza.net/fh6cars
fh6,Datsun,1969 Datsun 2000 Roadster,Classic Sports Cars,323 D,Japan,Seasonal,forza.net/fh6cars
fh6,Datsun,1970 Datsun 510,Classic Sports Cars,143 D,Japan,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Datsun,1972 Datsun #269 Attacking the Clock Racing 240Z 'All Carbon Hill Climb Beast',Extreme Track Toys,951 R,Japan,Autoshow DLC,forza.net/fh6cars
fh6,DeBerti,2013 DeBerti Jeep Wrangler Unlimited,Unlimited Offroad,645 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,DeBerti,2018 DeBerti Chevrolet Silverado 1500 Drift Truck,Drift Cars,707 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,DeBerti,2019 DeBerti Ford Super Duty F-250 Lariat 'Transformer',Unlimited Offroad,548 B,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,DeBerti,2019 DeBerti Toyota Tacoma TRD ‘The Performance Truck’,Drift Cars,717 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,DeLorean,1982 DeLorean DMC-12,Retro Sports Cars,357 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Dodge,1968 Dodge Dart HEMI Super Stock,Classic Muscle,540 B,USA,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Dodge,1969 Dodge Charger Daytona HEMI,Classic Muscle,479 C,USA,"Autoshow, Collection Journal, Wheelspin",forza.net/fh6cars
fh6,Dodge,1969 Dodge Charger R/T,Classic Muscle,417 C,USA,Collection Journal,forza.net/fh6cars
fh6,Dodge,1970 Dodge Challenger R/T,Classic Muscle,443 C,USA,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Dodge,1970 Dodge Coronet Super Bee,Classic Muscle,455 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Dodge,1999 Dodge Viper GTS ACR,Retro Muscle,598 B,USA,Autoshow,forza.net/fh6cars
fh6,Dodge,1999 Dodge Viper GTS ACR Forza Edition,Unlimited Offroad,700 A,USA,Autoshow DLC,forza.net/fh6cars
fh6,Dodge,2006 Dodge Ram SRT-10,Modern Muscle,547 B,USA,Seasonal,forza.net/fh6cars
fh6,Dodge,2008 Dodge Viper SRT-10 ACR,Track Toys,735 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Dodge,2015 Dodge Challenger SRT Hellcat,Modern Muscle,631 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Dodge,2015 Dodge Charger SRT Hellcat,Modern Muscle,637 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Dodge,2016 Dodge Viper ACR,Track Toys,786 S1,USA,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Dodge,2018 Dodge Challenger SRT Demon,Modern Muscle,678 A,USA,"Autoshow, Collection Journal, Wheelspin",forza.net/fh6cars
fh6,Dodge,2021 Dodge Durango SRT Hellcat,Sports Utility Heroes,628 A,USA,"Collection Journal, Seasonal",forza.net/fh6cars
fh6,Dodge,2022 Dodge Challenger SRT Super Stock,Modern Muscle,695 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,1962 Ferrari 250 GT Berlinetta Lusso,Rare Classics,475 C,Italy,"Autoshow, Collection Journal",forza.net/fh6cars
fh6,Ferrari,1962 Ferrari 250 GTO,Classic Racers,494 C,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,1967 Ferrari #24 Ferrari Spa 330 P4,Classic Racers,684 A,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,1967 Ferrari 275 GTB4 Spider,Rare Classics,490 C,Italy,Autoshow DLC,forza.net/fh6cars
fh6,Ferrari,1969 Ferrari Dino 246 GT,Rare Classics,428 C,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,1970 Ferrari 512 S,Classic Racers,774 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,1984 Ferrari 288 GTO,Retro Supercars,643 A,Italy,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Ferrari,1987 Ferrari F40,Retro Supercars,678 A,Italy,"Autoshow, Collection Journal",forza.net/fh6cars
fh6,Ferrari,1989 Ferrari F40 Competizione,Retro Racers,948 R,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,1992 Ferrari 512 TR,Retro Supercars,615 A,Italy,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Ferrari,1994 Ferrari F355 Berlinetta,Retro Supercars,588 B,Italy,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Ferrari,1995 Ferrari F50,Retro Supercars,678 A,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,1996 Ferrari F50 GT,Extreme Track Toys,949 R,Italy,"Collection Journal, Seasonal",forza.net/fh6cars
fh6,Ferrari,2002 Ferrari Enzo Ferrari,Retro Supercars,755 S1,Italy,Autoshow,forza.net/fh6cars
fh6,Ferrari,2005 Ferrari FXX,Extreme Track Toys,900 S2,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2007 Ferrari 430 Scuderia,Modern Supercars,702 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2009 Ferrari 458 Italia,Modern Supercars,721 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2010 Ferrari 599XX,Extreme Track Toys,840 S2,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2012 Ferrari 599XX Evolution,Extreme Track Toys,894 S2,Italy,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Ferrari,2013 Ferrari 458 Speciale,Track Toys,768 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2013 Ferrari LaFerrari,Hypercars,857 S2,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2014 Ferrari FXX K,Extreme Track Toys,936 R,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2015 Ferrari 488 GTB,Modern Supercars,770 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2015 Ferrari F12tdf,Super GT,788 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2017 Ferrari 812 Superfast,Super GT,780 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2017 Ferrari J50,Modern Supercars,772 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2017 Ferrari J50 Preorder Car,Modern Supercars,800 S1,Italy,Autoshow DLC,forza.net/fh6cars
fh6,Ferrari,2018 Ferrari FXX-K Evo,Extreme Track Toys,957 R,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2018 Ferrari FXX-K Evo Welcome Pack,Extreme Track Toys,998 R,Italy,Autoshow DLC,forza.net/fh6cars
fh6,Ferrari,2018 Ferrari Portofino,Super GT,714 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2019 Ferrari 488 Pista,Track Toys,803 S2,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2019 Ferrari F8 Tributo,Modern Supercars,802 S2,Italy,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Ferrari,2019 Ferrari Monza SP2,Super GT,773 S1,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2020 Ferrari Roma,Super GT,735 S1,Italy,Seasonal,forza.net/fh6cars
fh6,Ferrari,2020 Ferrari SF90 Stradale,Hypercars,851 S2,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ferrari,2022 Ferrari 296 GTB,Modern Supercars,811 S2,Italy,Seasonal,forza.net/fh6cars
fh6,Ferrari,2025 Ferrari F80,Hypercars,920 R,Italy,Autoshow DLC,forza.net/fh6cars
fh6,Ford,1932 Ford De Luxe Five-Window Coupe,Rods and Customs,100 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1965 Ford Mustang GT Coupe,Classic Muscle,388 D,USA,Autoshow,forza.net/fh6cars
fh6,Ford,1966 Ford #2 GT40 Mk II,Classic Racers,666 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1968 Ford Mustang GT 2+2 Fastback,Classic Muscle,394 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1968 Ford Mustang GT 2+2 Fastback Forza Edition,Drift Cars,700 A,USA,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Ford,1969 Ford Mustang Boss 302,Classic Muscle,468 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1973 Ford Capri RS3100,Classic Sports Cars,394 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1973 Ford XB Falcon GT,Classic Muscle,422 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1977 Ford #5 Escort RS1800 MkII,Classic Rally,544 B,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1985 Ford RS200 Evolution,Rally Monsters,710 S1,USA,Seasonal,forza.net/fh6cars
fh6,Ford,1986 Ford F-150 XLT Lariat,Pickups & 4x4's,263 D,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1986 Ford F-150 XLT Lariat Forza Edition,Drift Cars,850 S2,USA,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Ford,1987 Ford Sierra Cosworth RS500,Retro Super Saloons,484 C,USA,Collection Journal,forza.net/fh6cars
fh6,Ford,1992 Ford Escort RS Cosworth,Retro Rally,456 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1993 Ford Mustang SVT Cobra R,Retro Muscle,432 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1994 Ford Supervan 3,Track Toys,740 S1,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,1999 Ford Racing Puma,Retro Rally,401 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,2000 Ford Mustang SVT Cobra R,Retro Muscle,528 B,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,2001 Ford #4 Ford Focus RS,Rally Monsters,639 A,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,2003 Ford F-150 SVT Lightning,Pickups & 4x4's,474 C,USA,Seasonal,forza.net/fh6cars
fh6,Ford,2003 Ford Focus RS,Retro Hot Hatch,484 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ford,2005 Ford GT,Retro Supercars,676 A,USA,Collection Journal,forza.net/fh6cars
fh6,Ford,2009 Ford Focus RS,Super Hot Hatch,551 B,USA,Autoshow,forza.net/fh6cars
